timestamp,power_kw,wind_speed_ms,wind_direction_deg,irradiance_wm2,voltage,current_a
2026-09-20T15:00:00Z,2200,8.00,240,0.00,380,3342.55
2026-09-20T15:10:00Z,2242,8.17,240,0.00,380,3406.37
2026-09-20T15:20:00Z,2283,8.33,240,0.00,380,3468.66
2026-09-20T15:30:00Z,2324,8.49,240,0.00,380,3530.95
2026-09-20T15:40:00Z,2364,8.65,240,0.00,380,3591.73
2026-09-20T15:50:00Z,2402,8.81,240,0.00,380,3649.46
2026-09-20T16:00:00Z,2440,8.96,240,0.00,380,3707.20
2026-09-20T16:10:00Z,2475,9.10,240,0.00,380,3760.37
2026-09-20T16:20:00Z,2509,9.24,240,0.00,380,3812.03
2026-09-20T16:30:00Z,2541,9.36,240,0.00,380,3860.65
2026-09-20T16:40:00Z,2570,9.48,240,0.00,380,3904.71
2026-09-20T16:50:00Z,2597,9.59,240,0.00,380,3945.73
2026-09-20T17:00:00Z,2621,9.68,240,0.00,380,3982.20
2026-09-20T17:10:00Z,2642,9.77,240,0.00,380,4014.10
2026-09-20T17:20:00Z,2660,9.84,240,0.00,380,4041.45
2026-09-20T17:30:00Z,2674,9.90,240,0.00,380,4062.72
2026-09-20T17:40:00Z,2686,9.94,240,0.00,380,4080.95
2026-09-20T17:50:00Z,2694,9.98,240,0.00,380,4093.11
2026-09-20T18:00:00Z,2699,9.99,240,0.00,380,4100.71
2026-09-20T18:10:00Z,2700,10.00,240,0.00,380,4102.23
2026-09-20T18:20:00Z,2698,9.99,240,0.00,380,4099.19
2026-09-20T18:30:00Z,2692,9.97,240,0.00,380,4090.07
2026-09-20T18:40:00Z,2683,9.93,240,0.00,380,4076.40
2026-09-20T18:50:00Z,2670,9.88,240,0.00,380,4056.65
2026-09-20T19:00:00Z,2655,9.82,240,0.00,380,4033.86
2026-09-20T19:10:00Z,2636,9.74,240,0.00,380,4004.99
2026-09-20T19:20:00Z,2614,9.66,240,0.00,380,3971.56
2026-09-20T19:30:00Z,2589,9.56,240,0.00,380,3933.58
2026-09-20T19:40:00Z,2562,9.45,240,0.00,380,3892.56
2026-09-20T19:50:00Z,2532,9.33,240,0.00,380,3846.98
2026-09-20T20:00:00Z,2499,9.20,240,0.00,380,3796.84
2026-09-20T20:10:00Z,2465,9.06,240,0.00,380,3745.18
2026-09-20T20:20:00Z,2429,8.91,240,0.00,380,3690.48
2026-09-20T20:30:00Z,2391,8.76,240,0.00,380,3632.75
2026-09-20T20:40:00Z,2352,8.61,240,0.00,380,3573.49
2026-09-20T20:50:00Z,2312,8.45,240,0.00,380,3512.72
2026-09-20T21:00:00Z,2271,8.28,240,0.00,380,3450.43
2026-09-20T21:10:00Z,2288,8.12,240,39.26,380,3476.26
2026-09-20T21:20:00Z,2305,7.95,240,78.44,380,3502.09
2026-09-20T21:30:00Z,2322,7.78,240,117.47,380,3527.91
2026-09-20T21:40:00Z,2339,7.62,240,156.28,380,3553.74
2026-09-20T21:50:00Z,2356,7.46,240,194.80,380,3579.57
2026-09-20T22:00:00Z,2374,7.30,240,232.94,380,3606.92
2026-09-20T22:10:00Z,2392,7.14,240,270.64,380,3634.27
2026-09-20T22:20:00Z,2411,7.00,240,307.82,380,3663.14
2026-09-20T22:30:00Z,2431,6.86,240,344.42,380,3693.52
2026-09-20T22:40:00Z,2452,6.72,240,380.36,380,3725.43
2026-09-20T22:50:00Z,2473,6.60,240,415.57,380,3757.33
2026-09-20T23:00:00Z,2497,6.49,240,450.00,380,3793.80
2026-09-20T23:10:00Z,2521,6.38,240,483.57,380,3830.26
2026-09-20T23:20:00Z,2547,6.29,240,516.22,380,3869.77
2026-09-20T23:30:00Z,2574,6.21,240,547.89,380,3910.79
2026-09-20T23:40:00Z,2603,6.14,240,578.51,380,3954.85
2026-09-20T23:50:00Z,2634,6.09,240,608.03,380,4001.95
2026-09-21T00:00:00Z,2666,6.04,240,636.40,380,4050.57
2026-09-21T00:10:00Z,2699,6.02,240,663.55,380,4100.71
2026-09-21T00:20:00Z,2735,6.00,240,689.44,380,4155.40
2026-09-21T00:30:00Z,2771,6.00,240,714.02,380,4210.10
2026-09-21T00:40:00Z,2810,6.01,240,737.24,380,4269.35
2026-09-21T00:50:00Z,2849,6.04,240,759.05,380,4328.61
2026-09-21T01:00:00Z,2890,6.08,240,779.42,380,4390.90
2026-09-21T01:10:00Z,2931,6.14,240,798.31,380,4453.19
2026-09-21T01:20:00Z,2974,6.20,240,815.68,380,4518.53
2026-09-21T01:30:00Z,3018,6.28,240,831.49,380,4585.38
2026-09-21T01:40:00Z,3062,6.37,240,845.72,380,4652.23
2026-09-21T01:50:00Z,3106,6.48,240,858.35,380,4719.08
2026-09-21T02:00:00Z,3151,6.59,240,869.33,380,4787.45
